,num_decks_initial,running_count,expected_value,true_count,avg (dollars/hour)
0,8,0,-17864.0,0.0,-107.184
1,8,1,-14299.0,0.1253012048192771,-85.794
2,8,2,-16356.0,0.251207729468599,-98.136
3,8,3,-14523.0,0.3777239709443099,-87.13799999999999
4,8,4,-15072.0,0.5048543689320388,-90.432
5,8,5,-13246.0,0.6326034063260341,-79.476
6,8,6,-15076.0,0.7609756097560976,-90.45599999999999
7,8,7,-16541.0,0.8899755501222494,-99.246
8,8,8,-15827.0,1.019607843137255,-94.96199999999999
9,8,9,-15564.0,1.1498771498771498,-93.384
10,8,10,-14491.0,1.2807881773399017,-86.946
11,8,11,-11944.0,1.4123456790123456,-71.664
12,8,12,-8978.0,1.5445544554455446,-53.867999999999995
13,8,13,-6131.0,1.6774193548387095,-36.786
14,8,14,-11689.0,1.8109452736318408,-70.134
15,8,15,-8053.0,1.945137157107232,-48.318
16,8,16,-10346.0,2.08,-62.076
17,8,17,-7856.0,2.2155388471177946,-47.135999999999996
18,8,18,-6704.0,2.351758793969849,-40.224
19,8,19,-7648.0,2.4886649874055413,-45.888
20,8,20,-7398.0,2.6262626262626263,-44.388
21,8,21,-6681.0,2.7645569620253165,-40.086
22,8,22,-9748.0,2.903553299492386,-58.488
23,8,23,-7934.0,3.04325699745547,-47.604
24,8,24,-3069.0,3.183673469387755,-18.413999999999998
25,8,25,-6364.0,3.3248081841432224,-38.184
26,8,26,-1534.0,3.466666666666667,-9.203999999999999
27,8,27,-2281.0,3.609254498714653,-13.686
28,8,28,-5137.0,3.752577319587629,-30.822
29,8,29,-7182.0,3.896640826873385,-43.092
30,8,30,-2433.0,4.041450777202073,-14.597999999999999
31,8,31,1668.0,4.187012987012987,10.008
32,8,32,-2790.0,4.333333333333333,-16.74
33,8,33,-2249.0,4.480417754569191,-13.494
34,8,34,2025.0,4.628272251308901,12.149999999999999
35,8,35,-1960.0,4.776902887139108,-11.76
36,8,36,-781.0,4.926315789473684,-4.686
37,8,37,-2386.0,5.076517150395778,-14.315999999999999
38,8,38,-682.0,5.227513227513228,-4.092
39,8,39,1020.0,5.379310344827586,6.12
40,8,40,4496.0,5.531914893617021,26.976
41,8,41,1133.0,5.685333333333333,6.798
42,8,42,4776.0,5.839572192513369,28.656
43,8,43,330.0,5.994638069705093,1.98
44,8,44,1699.0,6.150537634408602,10.193999999999999
45,8,45,8794.0,6.307277628032344,52.763999999999996
46,8,46,6193.0,6.4648648648648654,37.158
47,8,47,4818.0,6.623306233062331,28.907999999999998
48,8,48,9892.0,6.782608695652174,59.352
49,8,49,7457.0,6.942779291553133,44.742
50,8,50,5469.0,7.103825136612022,32.814
51,8,51,9153.0,7.265753424657534,54.918
52,8,52,4571.0,7.428571428571429,27.426
53,8,53,11098.0,7.59228650137741,66.588
54,8,54,17674.0,7.756906077348066,106.044
55,8,55,10065.0,7.922437673130194,60.39
56,8,56,12045.0,8.088888888888889,72.27
57,8,57,12284.0,8.256267409470752,73.704
58,8,58,12726.0,8.424581005586592,76.356
59,8,59,10275.0,8.593837535014005,61.65
60,8,60,13255.0,8.764044943820226,79.53
61,8,61,13950.0,8.935211267605634,83.7
62,8,62,13104.0,9.107344632768362,78.624
63,8,63,12995.0,9.280453257790368,77.97
64,8,64,15865.0,9.454545454545457,95.19
65,8,65,17839.0,9.62962962962963,107.03399999999999
66,8,66,21614.0,9.805714285714286,129.684
67,8,67,13867.0,9.982808022922637,83.202
68,8,68,20681.0,10.160919540229886,124.086
69,8,69,20992.0,10.340057636887607,125.952
70,8,70,19252.0,10.520231213872831,115.512
71,8,71,23270.0,10.701449275362318,139.62
72,8,72,24493.0,10.883720930232558,146.958
73,8,73,22828.0,11.067055393586006,136.968
74,8,74,23666.0,11.251461988304094,141.99599999999998
75,8,75,26584.0,11.436950146627566,159.504
76,8,76,24971.0,11.623529411764704,149.826
77,8,77,26173.0,11.811209439528024,157.03799999999998
78,8,78,26197.0,12.0,157.182
79,8,79,26291.0,12.189910979228486,157.74599999999998
80,8,80,26934.0,12.38095238095238,161.60399999999998
81,8,81,29798.0,12.573134328358208,178.78799999999998
82,8,82,29005.0,12.766467065868262,174.03
83,8,83,33452.0,12.96096096096096,200.712
84,8,84,34325.0,13.156626506024097,205.95
85,8,85,31695.0,13.353474320241691,190.17
86,8,86,35236.0,13.551515151515153,211.416
87,8,87,36286.0,13.750759878419451,217.71599999999998
88,8,88,35832.0,13.951219512195122,214.992
89,8,89,37789.0,14.15290519877676,226.73399999999998
90,8,90,34518.0,14.355828220858896,207.108
91,8,91,38127.0,14.56,228.762
92,8,92,37153.0,14.765432098765432,222.91799999999998
93,8,93,40740.0,14.972136222910216,244.44
94,8,94,43986.0,15.180124223602483,263.916
95,8,95,39348.0,15.389408099688472,236.088
96,8,96,40966.0,15.6,245.796
97,8,97,37392.0,15.811912225705328,224.352
98,8,98,41880.0,16.025157232704405,251.28
99,8,99,45311.0,16.239747634069403,271.866
100,8,100,48617.0,16.455696202531648,291.702
101,8,101,47428.0,16.673015873015874,284.568
102,8,102,49236.0,16.89171974522293,295.416
103,8,103,48205.0,17.11182108626198,289.22999999999996
104,8,104,48848.0,17.333333333333332,293.08799999999997
105,8,105,48210.0,17.556270096463024,289.26
106,8,106,50535.0,17.780645161290323,303.21
107,8,107,57655.0,18.006472491909385,345.93
108,8,108,54512.0,18.233766233766232,327.072
109,8,109,50618.0,18.462540716612377,303.70799999999997
110,8,110,54113.0,18.692810457516337,324.678
111,8,111,58463.0,18.92459016393443,350.77799999999996
